time_s,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12
0.0000000,0.0100124,0.0098420,0.0102190,0.0100512,0.0100503,0.0096788,0.0101125,0.0100313,0.0098083,0.0102790,0.0099572,0.0101252
1.0000000,0.0099304,0.0100147,0.0098338,0.0101356,0.0099489,0.0101875,0.0101202,0.0101166,0.0098976,0.0097189,0.0099255,0.0100963
2.0000000,0.0100077,0.0100745,0.0099688,0.0100851,0.0101514,0.0097978,0.0099792,0.0100423,0.0099656,0.0098392,0.0098876,0.0099428
3.0000000,0.0101031,0.0099674,0.0100157,0.0099102,0.0099961,0.0101684,0.0099444,0.0103106,0.0099674,0.0099638,0.0102267,0.0097766
4.0000000,0.0097366,0.0101062,0.0101060,0.0099409,0.0098716,0.0099891,0.0103605,0.0101427,0.0101550,0.0101017,0.0098669,0.0098711
5.0000000,0.0102529,0.0098910,0.0101135,0.0099516,0.0101375,0.0101204,0.0100533,0.0101661,0.0098622,0.0101764,0.0097069,0.0099462
6.0000000,0.0099316,0.0099364,0.0100217,0.0099725,0.0099974,0.0098653,0.0100749,0.0102449,0.0098462,0.0098282,0.0097854,0.0097231
7.0000000,0.0099108,0.0101422,0.0097241,0.0099800,0.0101293,0.0102839,0.0099362,0.0101855,0.0098047,0.0098608,0.0099666,0.0097623
8.0000000,0.0098433,0.0098957,0.0097805,0.0100688,0.0100925,0.0100183,0.0097704,0.0101570,0.0097717,0.0101476,0.0097071,0.0098527
9.0000000,0.0101401,0.0101607,0.0102879,0.0098186,0.0099566,0.0098635,0.0098952,0.0102624,0.0100267,0.0100635,0.0101714,0.0098798
10.0000000,0.0101016,0.0102455,0.0099690,0.0099631,0.0101187,0.0097719,0.0098481,0.0099271,0.0102179,0.0100288,0.0101227,0.0101521
11.0000000,0.0101871,0.0100965,0.0101007,0.0101079,0.0100865,0.0100438,0.0100112,0.0099611,0.0100229,0.0096464,0.0101507,0.0097386
12.0000000,0.0101344,0.0100430,0.0102833,0.0104434,0.0096729,0.0100097,0.0099694,0.0099611,0.0097874,0.0098981,0.0099334,0.0100591
13.0000000,0.0100400,0.0099452,0.0099066,0.0100148,0.0101529,0.0098788,0.0096755,0.0099062,0.0099790,0.0101767,0.0100562,0.0098639
14.0000000,0.0100498,0.0101660,0.0100489,0.0100987,0.0100933,0.0101529,0.0100408,0.0100410,0.0100548,0.0099986,0.0100931,0.0098244
15.0000000,0.0101409,0.0100954,0.0098692,0.0100570,0.0099002,0.0097905,0.0098570,0.0098502,0.0100396,0.0100206,0.0101027,0.0096669
16.0000000,0.0098690,0.0098720,0.0099473,0.0099673,0.0099223,0.0102862,0.0098738,0.0100875,0.0100694,0.0099234,0.0099821,0.0102224
17.0000000,0.0099938,0.0099017,0.0099402,0.0098514,0.0099463,0.0098973,0.0101881,0.0098597,0.0101708,0.0100737,0.0098527,0.0099479
18.0000000,0.0100580,0.0101251,0.0100484,0.0101670,0.0099111,0.0100386,0.0099169,0.0098778,0.0099045,0.0099853,0.0100453,0.0100206
19.0000000,0.0099329,0.0099978,0.0100187,0.0099220,0.0100958,0.0101621,0.0099660,0.0103960,0.0098093,0.0098942,0.0100063,0.0099044
20.0000000,0.0101090,0.0103108,0.0099666,0.0099320,0.0100675,0.0098865,0.0100341,0.0098815,0.0099185,0.0100071,0.0099584,0.0101969
21.0000000,0.0099480,0.0100296,0.0098439,0.0102031,0.0099707,0.0099410,0.0100304,0.0099699,0.0099710,0.0099794,0.0099078,0.0103005
22.0000000,0.0101018,0.0099288,0.0101107,0.0097215,0.0100237,0.0101948,0.0099848,0.0101085,0.0102032,0.0100562,0.0099492,0.0102075
23.0000000,0.0100220,0.0102352,0.0099682,0.0100094,0.0097700,0.0098646,0.0100474,0.0099409,0.0100189,0.0100298,0.0099072,0.0100022
24.0000000,0.0100703,0.0101083,0.0098506,0.0101585,0.0100536,0.0098362,0.0100853,0.0100870,0.0100585,0.0100317,0.0099467,0.0100123
25.0000000,0.0097733,0.0100017,0.0098966,0.0099745,0.0099324,0.0099815,0.0097170,0.0102173,0.0097995,0.0098219,0.0098998,0.0100254
26.0000000,0.0098720,0.0100244,0.0101981,0.0099532,0.0096777,0.0100301,0.0101170,0.0097841,0.0099508,0.0101131,0.0099796,0.0099953
27.0000000,0.0102028,0.0099669,0.0100797,0.0097311,0.0099731,0.0102433,0.0100967,0.0100632,0.0099585,0.0100373,0.0100523,0.0101127
28.0000000,0.0100278,0.0099831,0.0101430,0.0100453,0.0099737,0.0101995,0.0100713,0.0100535,0.0099698,0.0101288,0.0101032,0.0102244
29.0000000,0.0099889,0.0099760,0.0102553,0.0099245,0.0100734,0.0101930,0.0100777,0.0099789,0.0099931,0.0099636,0.0099708,0.0102154
30.0000000,0.0101457,0.0101901,0.0102430,0.0098439,0.0098179,0.0101308,0.0099952,0.0100601,0.0101333,0.0100366,0.0102644,0.0098195
31.0000000,0.0101139,0.0099104,0.0100458,0.0102111,0.0097937,0.0101608,0.0096703,0.0099681,0.0101703,0.0097127,0.0099506,0.0099877
32.0000000,0.0099943,0.0100252,0.0099804,0.0101340,0.0101671,0.0098326,0.0101172,0.0099987,0.0098490,0.0099707,0.0101515,0.0098946
33.0000000,0.0099048,0.0098418,0.0101974,0.0100205,0.0098174,0.0100260,0.0099951,0.0101261,0.0099010,0.0099052,0.0099350,0.0100967
34.0000000,0.0102955,0.0103055,0.0098386,0.0098016,0.0100760,0.0103876,0.0099692,0.0100928,0.0097891,0.0098537,0.0100959,0.0099237
35.0000000,0.0101050,0.0100539,0.0099740,0.0100767,0.0099861,0.0101554,0.0098909,0.0100758,0.0101466,0.0101894,0.0098671,0.0099697
36.0000000,0.0097656,0.0097422,0.0098521,0.0101202,0.0102382,0.0099551,0.0097629,0.0100065,0.0098171,0.0101062,0.0099104,0.0099875
37.0000000,0.0101274,0.0097265,0.0099741,0.0096843,0.0099263,0.0099843,0.0099162,0.0101730,0.0099321,0.0098362,0.0099950,0.0096907
38.0000000,0.0101168,0.0098767,0.0098837,0.0099477,0.0101951,0.0099915,0.0099924,0.0100570,0.0099418,0.0100294,0.0102079,0.0101882
39.0000000,0.0101236,0.0102860,0.0098147,0.0101086,0.0100189,0.0103781,0.0099705,0.0102904,0.0100247,0.0099889,0.0103821,0.0101295
40.0000000,0.0099410,0.0100263,0.0101938,0.0097369,0.0100192,0.0098048,0.0097649,0.0098946,0.0099489,0.0099409,0.0100845,0.0098921
41.0000000,0.0102223,0.0099244,0.0097543,0.0102927,0.0100148,0.0099010,0.0099433,0.0101802,0.0098448,0.0100606,0.0100377,0.0098756
42.0000000,0.0098895,0.0101683,0.0098342,0.0100458,0.0099347,0.0102006,0.0100691,0.0097892,0.0099147,0.0100667,0.0099334,0.0097513
43.0000000,0.0101834,0.0101335,0.0099701,0.0098457,0.0101295,0.0099245,0.0101179,0.0097538,0.0098527,0.0101854,0.0100657,0.0102506
44.0000000,0.0100456,0.0099400,0.0101232,0.0100519,0.0099166,0.0100687,0.0100609,0.0103057,0.0101350,0.0099748,0.0098651,0.0097796
45.0000000,0.0102564,0.0100274,0.0100156,0.0102590,0.0102114,0.0100778,0.0099473,0.0100429,0.0099997,0.0100194,0.0100177,0.0100309
46.0000000,0.0099435,0.0098632,0.0100341,0.0101098,0.0100972,0.0098965,0.0099243,0.0099203,0.0100423,0.0101778,0.0103697,0.0099227
47.0000000,0.0101063,0.0097937,0.0101956,0.0101616,0.0100030,0.0098930,0.0100095,0.0103140,0.0098235,0.0102974,0.0099388,0.0099737
48.0000000,0.0101286,0.0098562,0.0099351,0.0097412,0.0101595,0.0098397,0.0102300,0.0100928,0.0101454,0.0101081,0.0097278,0.0099377
49.0000000,0.0099534,0.0102238,0.0099939,0.0100562,0.0101147,0.0101279,0.0099543,0.0098761,0.0100332,0.0097526,0.0099748,0.0098267
50.0000000,0.0100037,0.0098527,0.0097710,0.0099025,0.0098210,0.0097528,0.0100362,0.0099135,0.0099769,0.0103669,0.0098112,0.0100067
51.0000000,0.0099398,0.0101917,0.0096794,0.0099237,0.0100304,0.0101911,0.0099515,0.0101957,0.0101514,0.0099783,0.0099603,0.0099213
52.0000000,0.0100738,0.0096919,0.0101137,0.0099953,0.0098778,0.0097980,0.0096911,0.0100889,0.0099570,0.0100871,0.0100925,0.0100518
53.0000000,0.0101054,0.0097453,0.0099145,0.0099353,0.0102115,0.0101530,0.0101096,0.0095792,0.0099054,0.0101663,0.0098902,0.0101905
54.0000000,0.0099584,0.0101815,0.0100446,0.0100038,0.0100324,0.0100457,0.0100555,0.0100154,0.0101357,0.0100522,0.0099319,0.0100185
55.0000000,0.0100541,0.0099564,0.0099932,0.0099708,0.0101486,0.0100687,0.0099710,0.0098977,0.0099322,0.0097991,0.0099193,0.0097193
56.0000000,0.0099149,0.0099446,0.0097670,0.0102922,0.0098894,0.0101999,0.0099088,0.0100082,0.0101374,0.0100245,0.0097657,0.0100820
57.0000000,0.0099241,0.0102828,0.0101331,0.0101602,0.0098214,0.0098049,0.0100199,0.0100286,0.0099124,0.0099913,0.0098546,0.0098432
58.0000000,0.0097139,0.0100884,0.0097359,0.0100449,0.0100253,0.0100861,0.0099472,0.0100209,0.0101353,0.0101673,0.0099302,0.0103156
59.0000000,0.0098262,0.0099993,0.0098060,0.0100701,0.0097253,0.0097880,0.0099599,0.0102162,0.0096154,0.0101390,0.0099208,0.0099259
60.0000000,0.0099013,0.0101074,0.0100370,0.0099053,0.0100078,0.0100615,0.0099147,0.0099350,0.0100855,0.0099632,0.0099988,0.0098982
61.0000000,0.0100186,0.0097969,0.0102438,0.0099726,0.0100915,0.0102358,0.0100812,0.0099369,0.0097647,0.0099573,0.0101030,0.0099135
62.0000000,0.0102305,0.0098607,0.0100844,0.0101120,0.0101052,0.0100280,0.0098310,0.0100801,0.0098300,0.0101269,0.0096467,0.0100610
63.0000000,0.0100428,0.0099372,0.0099263,0.0102282,0.0099317,0.0099323,0.0098076,0.0098944,0.0096354,0.0100083,0.0099708,0.0101629
64.0000000,0.0100162,0.0097888,0.0099559,0.0102416,0.0099461,0.0099654,0.0100647,0.0098177,0.0098529,0.0101994,0.0099481,0.0102385
65.0000000,0.0100548,0.0099253,0.0099022,0.0098041,0.0096045,0.0099758,0.0097993,0.0097028,0.0099823,0.0096090,0.0099969,0.0098817
66.0000000,0.0097924,0.0095679,0.0099558,0.0100006,0.0098168,0.0098867,0.0100202,0.0097465,0.0097603,0.0098704,0.0099253,0.0097849
67.0000000,0.0100099,0.0100735,0.0101019,0.0100526,0.0101751,0.0100151,0.0099737,0.0099628,0.0099102,0.0099508,0.0100340,0.0097825
68.0000000,0.0098725,0.0096308,0.0098679,0.0100573,0.0095625,0.0099097,0.0099863,0.0097196,0.0095480,0.0099533,0.0100143,0.0100484
69.0000000,0.0099167,0.0095621,0.0102644,0.0098652,0.0093950,0.0098214,0.0097971,0.0098781,0.0093412,0.0101037,0.0099658,0.0102578
70.0000000,0.0103082,0.0097150,0.0100693,0.0098278,0.0099191,0.0100204,0.0099780,0.0096473,0.0094524,0.0099393,0.0100377,0.0100428
71.0000000,0.0102799,0.0097619,0.0098158,0.0102250,0.0097814,0.0099163,0.0101310,0.0094536,0.0096838,0.0101992,0.0100400,0.0098951
72.0000000,0.0101494,0.0094999,0.0098587,0.0100359,0.0096815,0.0101193,0.0098491,0.0096594,0.0093570,0.0100104,0.0100511,0.0098900
73.0000000,0.0100843,0.0095726,0.0101245,0.0100352,0.0095888,0.0100215,0.0100324,0.0096254,0.0096982,0.0098278,0.0100040,0.0099766
74.0000000,0.0100785,0.0094980,0.0100146,0.0099109,0.0093654,0.0100868,0.0099965,0.0095700,0.0095205,0.0100862,0.0099996,0.0098898
75.0000000,0.0098582,0.0093124,0.0097314,0.0100913,0.0093238,0.0098542,0.0098704,0.0096000,0.0091571,0.0097144,0.0098892,0.0099568
76.0000000,0.0098147,0.0094848,0.0098557,0.0099999,0.0093281,0.0098597,0.0100728,0.0095144,0.0091694,0.0098706,0.0098916,0.0100252
77.0000000,0.0100532,0.0094910,0.0098583,0.0099972,0.0093869,0.0100532,0.0100329,0.0094274,0.0092654,0.0101446,0.0099992,0.0097688
